Year,Team,M,W,L,Pts,NRR,Performance Classifications
2008,Rajasthan Royals,14,11,3,22,0.632,Dominant Performer
2008,Punjab Kings,14,10,4,20,0.509,Dominant Performer
2008,Chennai Super Kings,14,8,6,16,-0.192,Playoff Contender
2008,Delhi Capitals,14,7,6,15,0.342,Playoff Contender
2008,Mumbai Indians,14,7,7,14,0.57,Mid-Table Team
2008,Kolkata Knight Riders,14,6,7,13,-0.147,Mid-Table Team
2008,Royal Challengers Bengaluru,14,4,10,8,-1.16,Struggling Team
2009,Delhi Capitals,14,10,4,20,0.311,Dominant Performer
2009,Chennai Super Kings,14,8,5,17,0.951,Dominant Performer
2009,Royal Challengers Bengaluru,14,8,6,16,-0.191,Playoff Contender
2009,Punjab Kings,14,7,7,14,-0.483,Mid-Table Teams
2009,Rajasthan Royals,14,6,7,13,-0.352,Mid-Table Teams
2009,Mumbai Indians,14,5,8,11,0.297,Struggling Team
2009,Kolkata Knight Riders,14,3,10,7,-0.789,Struggling Team
2010,Mumbai Indians,14,10,4,20,1.084,Dominant Performer
2010,Kolkata Knight Riders,14,7,7,14,-0.341,Mid-Table Team
2010,Chennai Super Kings,14,7,7,14,0.274,Playoff Contender
2010,Royal Challengers Bengaluru,14,7,7,14,0.219,Playoff Contender
2010,Delhi Capitals,14,7,7,14,0.021,Mid-Table Team
2010,Rajasthan Royals,14,6,8,12,-0.514,Struggling team
2010,Punjab Kings,14,4,10,8,-0.478,Struggling Team
2011,Royal Challengers Bengaluru,14,9,4,19,0.326,Dominant Performer
2011,Chennai Super Kings,14,9,5,18,0.443,Dominant Performer
2011,Mumbai Indians,14,9,5,18,0.04,Playoff Contender
2011,Kolkata Knight Riders,14,8,6,16,0.433,Playoff Contender
2011,Punjab Kings,14,7,7,14,-0.051,Mid-Table Team
2011,Rajasthan Royals,14,6,7,13,-0.691,Mid-Table Team
2011,Delhi Capitals,14,4,9,9,-0.448,Struggling Team
2012,Delhi Capitals,16,11,5,22,0.617,Dominant Performer
2012,Kolkata Knight Riders,16,10,5,21,0.561,Dominant Performer
2012,Mumbai Indians,16,10,6,20,-0.1,Playoff Contender
2012,Royal Challengers Bengaluru,16,8,7,17,-0.022,Mid-Table Team
2012,Chennai Super Kings,16,8,7,17,0.1,Playoff Contender
2012,Punjab Kings,16,8,8,16,-0.216,Mid-Table Team
2012,Rajasthan Royals,16,7,9,14,0.201,Mid-Table Team
2013,Chennai Super Kings,16,11,5,22,0.53,Dominant Performer
2013,Mumbai Indians,16,11,5,22,0.441,Dominant Performer
2013,Rajasthan Royals,16,10,6,20,0.322,Playoff Contender
2013,Sunrisers Hyderabad,16,10,6,20,0.003,Playoff Contender
2013,Royal Challengers Bengaluru,16,9,7,18,0.457,Mid-Table Team
2013,Punjab Kings,16,8,8,16,0.226,Mid-Table Team
2013,Kolkata Knight Riders,16,6,10,12,-0.095,Mid-Table Team
2013,Delhi Capitals,16,3,13,6,-0.848,Struggling Team
2014,Punjab Kings,14,11,3,22,0.968,Dominant Performer
2014,Kolkata Knight Riders,14,9,5,18,0.418,Dominant Performer
2014,Chennai Super Kings,14,9,5,18,0.385,Playoff Contender
2014,Mumbai Indians,14,7,7,14,0.095,Playoff Contender
2014,Rajasthan Royals,14,7,7,14,0.06,Mid-Table Team
2014,Sunrisers Hyderabad,14,6,8,12,-0.399,Mid-Table Team
2014,Royal Challengers Bengaluru,14,5,9,10,-0.428,Struggling Team
2014,Delhi Capitals,14,2,12,4,-1.182,Struggling Team
2015,Chennai Super Kings,14,9,5,18,0.709,Dominant Performer
2015,Royal Challengers Bengaluru,14,7,5,16,1.037,Playoff Contender
2015,Rajasthan Royals,14,7,5,16,0.062,Playoff Contender
2015,Mumbai Indians,14,8,6,16,-0.043,Dominant Performer
2015,Kolkata Knight Riders,14,7,6,15,0.253,Mid-Table Team
2015,Sunrisers Hyderabad,14,7,7,14,-0.239,Mid-Table Team
2015,Delhi Capitals,14,5,8,11,-0.049,Struggling Team
2015,Punjab Kings,14,3,11,6,-1.436,Struggling Team
2016,Royal Challengers Bengaluru,14,8,6,16,0.932,Dominant Performer
2016,Sunrisers Hyderabad,14,8,6,16,0.245,Playoff Contender
2016,Kolkata Knight Riders,14,8,6,16,0.106,Playoff Contender
2016,Delhi Capitals,14,7,7,14,-0.155,Mid-Table Team
2016,Mumbai Indians,14,7,7,14,-0.146,Mid-Table Team
2016,Punjab Kings,14,4,10,8,-0.646,Struggling Team
2017,Mumbai Indians,14,10,4,20,0.784,Dominant Performer
2017,Sunrisers Hyderabad,14,8,5,17,0.599,Playoff Contender
2017,Kolkata Knight Riders,14,8,6,16,0.641,Playoff Contender
2017,Punjab Kings,14,7,7,14,-0.009,Mid-Table Team
2017,Delhi Capitals,14,6,8,12,-0.512,Mid-Table Team
2017,Royal Challengers Bengaluru,14,3,10,7,-1.299,Struggling Team
2018,Sunrisers Hyderabad,14,9,5,18,0.284,Dominant Performer
2018,Chennai Super Kings,14,9,5,18,0.253,Dominant Performer
2018,Kolkata Knight Riders,14,8,6,16,-0.07,Playoff Contender
2018,Rajasthan Royals,14,7,7,14,-0.25,Playoff Contender
2018,Mumbai Indians,14,6,8,12,0.317,Mid-Table Team
2018,Royal Challengers Bengaluru,14,6,8,12,0.129,Mid-Table Team
2018,Punjab Kings,14,6,8,12,-0.502,Mid-Table Team
2018,Delhi Capitals,14,5,9,10,-0.222,Struggling Team
2019,Mumbai Indians,14,9,5,18,0.421,Dominant Performer
2019,Chennai Super Kings,14,9,5,18,0.131,Dominant Performer
2019,Delhi Capitals,14,9,5,18,0.044,Playoff Contender
2019,Sunrisers Hyderabad,14,6,8,12,0.577,Playoff Contender
2019,Kolkata Knight Riders,14,6,8,12,0.028,Mid-Table Team
2019,Punjab Kings,14,6,8,12,-0.251,Mid-Table Team
2019,Royal Challengers Bengaluru,14,5,8,11,-0.607,Struggling Team
2019,Rajasthan Royals,14,5,8,11,-0.449,Struggling Team
2020,Mumbai Indians,14,9,5,18,1.1,Dominant Performer
2020,Delhi Capitals,14,8,6,16,-0.1,Dominant Performer
2020,Sunrisers Hyderabad,14,7,7,14,0.6,Playoff Contender
2020,Kolkata Knight Riders,14,7,7,14,-0.21,Mid-Table Team
2020,Royal Challengers Bengaluru,14,7,7,14,-0.17,Playoff Contender
2020,Rajasthan Royals,14,6,8,12,-0.56,Struggling Team
2020,Punjab Kings,14,6,8,12,-0.16,Mid-Table Team
2020,Chennai Super Kings,14,6,8,10,-0.45,Struggling Team
2021,Delhi Capitals,14,10,3,20,0.481,Dominant Performer
2021,Chennai Super Kings,14,9,5,18,0.455,Dominant Performer
2021,Royal Challengers Bengaluru,14,9,5,18,-0.14,Playoff Contender
2021,Kolkata Knight Riders,14,7,7,14,0.587,Playoff Contender
2021,Mumbai Indians,14,6,7,12,0.116,Mid-Table Team
