Player,Team,Runs,Inns,0s,1s,2s,3s,4s,6s,Balls Faced,Dismissal
Virat Kohli,Delhi Capitals,1057,28,221,384,50,1,96,31,783,21
Virat Kohli,Chennai Super Kings,1053,32,295,350,66,5,76,42,834,28
Virat Kohli,Punjab Kings,1030,32,277,301,51,1,108,32,770,29
Virat Kohli,Kolkata Knight Riders,962,31,232,314,66,4,84,28,728,25
Virat Kohli,Mumbai Indians,855,32,240,285,43,4,70,32,674,27
Virat Kohli,Rajasthan Royals,764,30,232,268,46,2,65,23,636,24
Virat Kohli,Sunrisers Hyderabad,762,23,189,209,39,1,76,28,542,21
Virat Kohli,Gujarat Titans,344,5,67,114,12,0,35,11,239,3
Virat Kohli,Lucknow Super Giants,139,5,42,50,6,1,11,5,115,5
Rohit Sharma,Kolkata Knight Riders,1070,33,320,329,42,1,102,40,835,26
Rohit Sharma,Delhi Capitals,1034,35,290,316,37,2,86,49,780,32
Rohit Sharma,Chennai Super Kings,896,34,249,287,41,1,83,32,693,30
Rohit Sharma,Punjab Kings,848,30,219,235,32,1,78,39,604,26
Rohit Sharma,Royal Challengers Bengaluru,831,32,230,232,34,0,76,37,610,29
Rohit Sharma,Rajasthan Royals,547,28,168,177,29,0,42,24,440,28
Rohit Sharma,Sunrisers Hyderabad,439,23,130,126,12,1,43,19,331,20
Rohit Sharma,Lucknow Super Giants,165,6,52,33,4,0,19,8,116,6
Rohit Sharma,Gujarat Titans,125,5,42,24,2,1,16,5,90,5
Shikhar Dhawan,Chennai Super Kings,1057,29,266,342,51,3,118,22,802,22
Shikhar Dhawan,Kolkata Knight Riders,907,31,304,307,32,2,101,21,767,29
Shikhar Dhawan,Mumbai Indians,901,28,265,264,48,3,100,22,702,23
Shikhar Dhawan,Punjab Kings,894,26,201,273,48,2,103,17,645,21
Shikhar Dhawan,Royal Challengers Bengaluru,724,25,216,242,28,2,78,18,584,21
Shikhar Dhawan,Rajasthan Royals,679,24,206,193,20,1,87,15,523,21
Shikhar Dhawan,Delhi Capitals,579,20,147,161,19,2,71,15,415,19
Shikhar Dhawan,Sunrisers Hyderabad,378,12,129,110,13,4,41,10,308,11
Shikhar Dhawan,Gujarat Titans,106,4,41,30,7,0,14,1,93,3
Shikhar Dhawan,Lucknow Super Giants,76,3,30,24,3,0,7,3,67,3
