Player,Runs,Mat,Inns,NO,HS,BF,100,50,0s,4s,6s,
Virat Kohli,3604,124,117,24,108*,2698,2,22,5,344,119,
Shikhar Dhawan,2843,94,94,17,101*,2242,1,22,6,329,61,
Rohit Sharma,3028,127,123,19,105*,2403,1,19,6,269,125,
David Warner,3285,97,97,13,109*,2314,1,34,5,350,114,
Suresh Raina,2334,94,91,20,87,1688,0,13,5,229,85,
Mahendra Singh Dhoni,2178,118,93,37,84*,1624,0,10,2,144,107,
AB de Villiers,1999,94,82,21,90*,1450,0,15,5,159,92,
Chris Gayle,2092,65,65,11,102*,1460,1,13,4,164,156,
Robin Uthappa,2832,119,115,12,87,2103,0,15,5,280,110,
KL Rahul,2310,59,56,9,98*,1706,0,22,2,190,90,
Faf du Plessis,2051,66,65,6,87*,1500,0,16,2,198,72,
Sanju Samson,2302,94,92,12,119,1707,1,12,6,183,103,
Jos Buttler,1803,58,57,9,107*,1163,3,10,6,178,86,
Kieron Pollard,1550,87,73,21,87*,1025,0,9,0,97,104,
Rishabh Pant,1619,58,57,10,97,1105,0,8,3,148,75,
Shreyas Iyer,1466,54,54,14,96,1143,0,11,2,144,46,
Ravindra Jadeja,1290,122,88,39,50,996,0,1,5,92,48,
Shane Watson,2162,80,78,11,117*,1534,1,15,4,210,110,
Ambati Rayudu,2201,96,91,15,100*,1789,1,9,8,189,81,
Gautam Gambhir,2460,91,89,16,90*,2048,0,20,6,296,25,
