Player,Runs,Matches,Innings,NO,HS,Ave,BF,SR,100,50,0,4s,6s
Virat Kohli,3658,125,124,10,113*,32.08,2922,125.18,3,26,4,316,107
Shikhar Dhawan,2780,108,107,7,106*,27.8,2316,120.03,1,18,8,315,65
David Warner,2768,101,101,3,86,28.24,2213,125.07,0,25,9,269,89
Rohit Sharma,2660,119,118,3,105*,23.13,2120,125.47,1,16,11,249,102
Robin Uthappa,2338,106,106,5,75,23.14,1923,121.58,0,11,5,230,76
Mahendra Singh Dhoni,2236,110,104,37,84*,33.37,1794,124.63,0,7,3,149,104
KL Rahul,2209,67,65,5,100*,36.81,1753,126.01,1,18,2,182,83
AB de Villiers,2034,92,92,4,89*,23.11,1512,134.52,0,13,6,156,91
Sanju Samson,2005,82,82,4,119,25.7,1497,133.93,2,11,6,171,80
Suresh Raina,1953,80,80,5,87,26.04,1475,132.4,0,15,5,165,73
Faf du Plessis,1820,65,63,1,96,29.35,1280,142.18,0,14,3,176,72
Chris Gayle,1759,69,69,1,99*,25.86,1328,132.45,0,13,7,153,108
Shreyas Iyer,1331,55,55,4,85,26.09,1119,118.94,0,7,3,119,39
Rishabh Pant,1625,55,55,5,128*,32.5,1166,139.36,1,9,3,153,63
Ravindra Jadeja,1678,101,92,35,57*,29.43,1363,123.11,0,2,3,124,50
Jos Buttler,1425,52,52,2,95,28.5,1055,135.07,0,9,4,145,58
Kieron Pollard,1247,79,77,12,78,19.18,995,125.32,0,4,3,76,71
Shane Watson,1404,67,67,0,101,20.95,1156,121.45,1,5,1,138,60
Ambati Rayudu,1672,82,81,8,78,22.9,1387,120.54,0,8,7,135,63
Gautam Gambhir,1333,68,66,0,80,20.19,1110,120.09,0,10,8,158,19
