Player,Runs,Innings,0s,1s,2s,3s,4s,5s,6s,BF,Dis
Virat Kohli,2708,193,980,736,105,12,336,0,63,2233,65
Rohit Sharma,2133,168,873,465,65,3,240,1,94,1741,72
Shikhar Dhawan,3391,213,1242,881,99,14,454,2,74,2766,91
David Warner,3303,175,1080,617,135,19,431,1,105,2388,71
Suresh Raina,1542,133,553,294,57,7,196,1,54,1162,44
Mahendra Singh Dhoni,53,16,45,13,2,0,9,0,0,69,2
Ravindra Jadeja,60,10,31,14,2,0,9,0,1,57,2
AB de Villiers,705,75,297,152,24,3,97,0,18,591,20
Chris Gayle,2336,135,931,366,40,2,263,0,138,1741,60
Faf du Plessis,2148,122,689,460,54,14,268,2,76,1563,48
KL Rahul,1990,109,702,507,76,3,215,0,77,1580,32
Jos Buttler,1594,87,534,283,46,4,205,1,63,1137,37
Rishabh Pant,367,49,139,80,12,1,50,0,10,292,6
Robin Uthappa,2022,148,743,477,75,12,261,3,50,1621,58
Sanju Samson,1203,116,485,275,41,8,153,0,35,997,37
Kieron Pollard,28,9,20,13,0,0,1,1,1,36,1
Shreyas Iyer,863,83,394,236,31,4,110,1,18,794,27
Ambati Rayudu,777,82,377,215,23,0,93,0,24,732,22
Shane Watson,1415,101,673,318,36,4,170,1,54,1257,40
Gautam Gambhir,2230,146,806,576,102,10,307,0,32,1833,62
