Player,Runs,Matches,Innings,NO,HS,BF,100,50,0,4s,6s
Virat Kohli,4205,120,114,26,113,3025,5,28,6,376,160
Shikhar Dhawan,3945,111,111,22,101*,2972,1,33,2,448,86
Rohit Sharma,3922,134,130,26,109*,2887,1,27,6,343,177
David Warner,3710,79,79,18,126,2420,4,37,2,385,145
Suresh Raina,3559,122,118,25,100*,2554,1,24,3,341,129
Chris Gayle,3116,66,66,14,175*,1931,6,18,1,247,240
Mahendra Singh Dhoni,3007,152,125,58,75*,2018,0,17,3,214,148
AB de Villiers,2967,86,74,35,133*,1786,3,25,4,239,154
Gautam Gambhir,2839,85,85,16,93,2250,0,26,4,330,40
Faf du Plessis,2751,79,75,10,96,2072,0,23,4,245,94
Ambati Rayudu,2676,121,106,25,100*,2022,1,14,7,224,110
Robin Uthappa,2603,96,89,12,88,1869,0,16,2,249,106
Shane Watson,2392,75,72,16,117*,1594,3,16,6,227,128
KL Rahul,2364,62,55,15,132*,1644,3,18,2,207,100
Shreyas Iyer,1694,57,57,14,96,1252,0,14,3,147,68
Jos Buttler,2148,54,53,10,124,1366,7,10,3,208,103
Sanju Samson,2361,81,78,14,102,1649,1,14,5,174,123
Ravindra Jadeja,1231,135,90,41,62*,870,0,1,5,89,56
Rishabh Pant,1580,53,52,12,97,968,0,9,1,134,90
Kieron Pollard,2046,106,90,38,87*,1265,0,11,2,136,142
