Player,Batting Team,Wickets,Innings,0s,1s,2s,3s,4s,5s,6s,Conceded,Balls,Ex
Jasprit Bumrah,Royal Challengers Bengaluru,29,19,191,153,32,5,42,0,23,552,444,38
Jasprit Bumrah,Delhi Capitals,26,21,189,181,37,0,52,0,19,596,476,26
Jasprit Bumrah,Kolkata Knight Riders,25,18,182,127,26,0,48,0,22,517,401,33
Jasprit Bumrah,Punjab Kings,23,16,158,141,27,0,32,0,7,380,364,28
Jasprit Bumrah,Sunrisers Hyderabad,17,15,127,146,22,3,40,0,7,414,344,17
Jasprit Bumrah,Rajasthan Royals,17,14,157,109,16,1,39,0,5,353,324,30
Jasprit Bumrah,Chennai Super Kings,12,15,151,113,29,1,40,0,15,442,346,32
Jasprit Bumrah,Gujarat Titans,3,2,21,16,2,0,6,0,3,62,48,1
Jasprit Bumrah,Lucknow Super Giants,1,3,34,24,7,0,5,0,2,72,72,3
Yuzvendra Chahal,Punjab Kings,32,21,155,193,27,0,40,0,30,607,445,38
Yuzvendra Chahal,Mumbai Indians,29,20,178,187,24,1,34,0,38,616,462,28
Yuzvendra Chahal,Kolkata Knight Riders,29,22,180,197,35,2,52,0,26,657,492,33
Yuzvendra Chahal,Sunrisers Hyderabad,28,21,163,217,44,1,33,0,29,626,487,18
Yuzvendra Chahal,Delhi Capitals,23,20,147,189,28,0,31,0,33,581,427,21
Yuzvendra Chahal,Chennai Super Kings,19,17,149,170,19,2,23,0,21,442,384,13
Yuzvendra Chahal,Rajasthan Royals,18,12,107,103,11,1,14,0,9,245,243,20
Yuzvendra Chahal,Royal Challengers Bengaluru ,6,7,55,79,11,1,10,0,12,225,168,12
Yuzvendra Chahal,Gujarat Titans,6,6,35,79,12,1,10,0,6,185,143,4
Yuzvendra Chahal,Lucknow Super Giants,6,5,27,52,12,1,13,0,9,190,114,5
Piyush Chawla,Mumbai Indians,25,21,166,162,29,0,47,0,29,594,433,23
Piyush Chawla,Rajasthan Royals,24,22,177,196,33,1,41,0,29,606,476,7
Piyush Chawla,Chennai Super Kings,22,22,161,172,34,0,54,1,25,614,447,12
Piyush Chawla,Royal Challengers Bengaluru ,19,23,168,191,32,0,42,0,24,581,457,26
Piyush Chawla,Punjab Kings,19,16,101,144,26,2,25,0,20,425,318,5
Piyush Chawla,Sunrisers Hyderabad,16,19,108,158,22,3,39,0,18,477,348,3
Piyush Chawla,Kolkata Knight Riders,14,14,97,119,19,1,23,0,13,337,272,18
Piyush Chawla,Gujarat Titans,6,4,18,39,11,0,9,0,7,146,84,7
Piyush Chawla,Lucknow Super Giants,5,4,29,40,4,0,5,0,6,106,84,6
Amit Mishra,Rajasthan Royals,31,21,178,173,44,2,29,0,20,518,444,20
Amit Mishra,Mumbai Indians,25,22,184,218,35,2,36,0,31,637,504,24
