Player,Wkts,Mat,Inns,Overs,Mdns,Runs,BBI,4WI,5WI
Yuzvendra Chahal,115,85,85,311.4,4,2307,1940-05-01,4,1
Ravichandran Ashwin,108,118,117,416.3,3,2851,1934-04-01,0,0
Amit Mishra,100,86,86,297.5,3,2198,2024-11-04,2,1
Harbhajan Singh,92,81,79,288.2,4,2026,2020-03-01,1,1
Dwayne Bravo,89,83,81,250.2,1,2013,2022-04-01,0,0
Lasith Malinga,86,65,65,246.1,4,1703,1931-04-01,2,0
Piyush Chawla,82,82,81,275.4,1,2136,2025-04-01,2,0
Jasprit Bumrah,80,67,67,247.0,2,1803,2014-04-01,2,0
Sunil Narine,80,76,75,287.3,3,1892,2020-04-01,3,0
Bhuvneshwar Kumar,79,90,90,323.2,10,2428,2014-04-01,1,1
Ravindra Jadeja,78,116,104,300.1,1,2264,2020-04-01,3,1
Mohit Sharma,75,61,60,197.3,0,1651,1939-04-01,2,1
Rashid Khan,74,58,58,224.3,4,1561,2020-04-01,1,0
Hardik Patel,64,55,54,184.5,0,1575,1938-04-01,1,0
Sandeep Sharma,64,64,64,228.2,5,1799,2029-04-01,1,0
Trent Boult,60,55,55,203.3,6,1679,2027-04-01,0,0
Umesh Yadav,61,39,39,144.0,1,1129,1932-04-01,3,0
Kagiso Rabada,46,57,57,181.2,0,1494,1954-04-01,0,0
Axar Patel,62,74,72,244.3,0,1722,1938-04-01,1,0
