Player,Wickets,Matches,Innings,Overs,Maidens,Runs,Best Bowling In Innings,4-Wkts,5-Wkts
Yuzvendra Chahal,87,80,80,297.4,3,2332,2029-04-01,2,0
Piyush Chawla,80,92,91,293.4,1,2506,2019-03-01,0,0
Bhuvneshwar Kumar,80,100,100,360.1,6,2724,1930-05-01,0,1
Amit Mishra,70,83,83,280.5,2,2318,2019-03-01,0,0
Sunil Narine,70,75,75,287.2,2,2000,2019-05-01,0,1
Dwayne Bravo,68,67,65,207.3,1,1849,1942-04-01,1,0
Ravichandran Ashwin,64,92,91,319.3,1,2460,2023-03-01,0,0
Rashid Khan,62,55,55,212.4,2,1565,1930-04-01,1,0
Jasprit Bumrah,58,62,62,233.5,2,1882,2024-10-05,0,1
Sandeep Sharma,57,66,66,238.3,4,2008,2025-04-01,1,0
Hardik Patel,55,48,48,161.0,0,1518,1934-04-01,1,0
Umesh Yadav,52,72,72,243.2,2,2186,2024-04-01,1,0
Kagiso Rabada,47,40,40,147.3,1,1287,1938-04-01,1,0
Harbhajan Singh,46,68,67,237.5,2,1824,2017-04-01,1,0
Lasith Malinga,46,47,47,182.3,4,1344,2023-04-01,1,0
Axar Patel,45,80,78,264.3,1,2069,2024-11-02,0,0
Ravindra Jadeja,44,101,87,258.2,0,2128,2029-03-01,0,0
Trent Boult,36,42,42,154.5,4,1301,1945-03-01,0,0
Mohit Sharma,32,53,52,165.3,0,1617,1936-03-01,0,0
