Player,Wickets,Innings,0s,1s,2s,3s,4s,5s,6s,Conceded,Balls,Extras
Bhuvneshwar Kumar,71,173,1203,496,88,11,281,2,51,2245,2130,166
Trent Boult,62,103,774,315,63,5,232,0,40,1678,1428,82
Sandeep Sharma,59,122,810,444,67,6,237,0,47,1871,1608,75
Umesh Yadav,58,131,737,350,55,8,246,2,51,1854,1446,123
Ravichandran Ashwin,49,133,533,441,50,4,115,0,49,1353,1192,66
Lasith Malinga,37,117,608,290,43,3,147,1,20,1160,1110,107
Kagiso Rabada,29,78,351,201,44,4,125,0,32,1021,756,67
Ravindra Jadeja,4,16,51,41,8,0,19,0,8,184,126,4
Jasprit Bumrah,34,127,558,269,43,6,136,0,27,1131,1032,82
Harbhajan Singh,30,81,391,217,27,5,98,0,36,915,773,34
Axar Patel,17,76,211,192,18,0,61,0,28,653,510,22
Hardik Patel,9,48,129,105,10,0,61,1,14,477,318,29
Piyush Chawla,20,54,192,127,17,1,64,1,18,546,420,18
Amit Mishra,5,15,63,34,2,0,19,0,4,143,120,7
Rashid Khan,14,50,126,108,17,1,34,0,20,403,306,17
Dwayne Bravo,9,31,112,57,9,1,31,0,12,289,222,20
Yuzvendra Chahal,15,45,171,121,15,0,52,0,20,483,378,11
Mohit Sharma,80,36,386,225,41,5,152,0,32,1137,840,21
Sunil Narine,27,130,443,290,36,1,109,0,33,1035,912,48
