Player,Wickets,Matches,Innings,Overs,Maidens,Runs,BBI,4-Wkts,5-Wkts
Lasith Malinga,122,73,73,280.4,4,1945,2013-05-01,5,1
Dwayne Bravo,115,93,93,312.2,2,2511,2022-04-01,1,0
Ravindra Jadeja,115,135,121,374.5,2,2707,2016-05-01,3,1
Ravichandran Ashwin,114,115,114,425.3,3,2848,1934-04-01,1,0
Yuzvendra Chahal,114,76,76,281.5,1,2196,1940-05-01,4,1
Piyush Chawla,110,97,97,337.0,1,2512,2017-04-01,2,0
Sunil Narine,110,100,99,387.5,1,2543,2013-04-01,7,0
Harbhajan Singh,103,94,92,327.3,4,2183,2018-05-01,0,1
Amit Mishra,101,76,76,269.0,4,1745,2017-05-01,4,1
Jasprit Bumrah,100,67,67,259.0,6,1704,2021-05-01,2,1
Bhuvneshwar Kumar,100,75,75,287.3,8,2176,2019-05-01,2,1
Mohit Sharma,99,58,58,206.0,0,1594,2024-10-05,3,1
Umesh Yadav,90,73,73,260.0,3,2099,2023-04-01,2,0
Rashid Khan,85,63,63,251.5,2,1607,2024-04-01,1,0
Trent Boult,83,59,59,226.4,7,1847,2018-04-01,1,0
Axar Patel,73,67,67,240.0,1,1619,2021-04-01,1,0
Hardik Patel,76,58,58,223.5,4,1649,2018-05-01,1,1
Sandeep Sharma,67,37,37,144.3,1,1189,2021-04-01,5,0
Kagiso Rabada,79,54,53,191.1,2,1561,2027-05-01,1,1
