Player,Full Name,Born,Age,Also Known As,Batting Style,Bowling Style,Playing Role
Bhuvneshwar Kumar,Bhuvneshwar Kumar Singh,"February 05, 1990, Meerut, Uttar Pradesh",34y 267d,,Right-hand Bat,Right-arm Medium,Bowler
Trent Boult,Trent Alexander Boult,"July 22, 1989, Rotorua",35y 99d,,Right-hand Bat,Left-arm Fast Medium,Bowler
Sandeep Sharma,Sandeep Sharma,"May 18, 1993, Patiala, Punjab",31y 164d,,Right-hand Bat,Right-arm Medium,Bowler
Umesh Yadav,Umeshkumar Tilak Yadav,"October 25, 1987, Nagpur, Maharashtra",37y 4d,,Right-hand Bat,Right-arm Fast,Bowler
Ravichandran Ashwin,Ravichandran Ashwin,"September 17, 1986, Chennai, Tamil Nadu",38y 42d,,Right-hand Bat,Right-arm Offbreak,Bowling Allrounder
Lasith Malinga,Separamadu Lasith Malinga,"August 28, 1983, Galle",41y 62d,Separamadu Lasith Malinga Swarnajith,Right-hand Bat,Right-arm Fast,Bowler
Kagiso Rabada,Kagiso Rabada,"May 25, 1995, Johannesburg",29y 157d,,Left-hand Bat,Right-arm Fast,Bowler
Ravindra Jadeja,Ravindrasinh Anirudhsinh Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",35y 328d,,Left-hand Bat,Slow Left-arm Orthodox,Allrounder
Jasprit Bumrah,Jasprit Jasbirsingh Bumrah,"December 06, 1993, Ahmedabad",30y 328d,,Right-hand Bat,Right-arm Fast,Bowler
Harbhajan Singh,Harbhajan Singh,"July 03, 1980, Jalandhar",44y 118d,,Right-hand Bat,Right-arm Offbreak,Bowler
Axar Patel,Axar Rajeshbhai Patel,"January 20, 1994, Anand, Gujarat",30y 283d,Akshar Patel,Left-hand Bat,Slow Left-arm Orthodox,Allrounder
Harshal Patel,Harshal Vikram Patel,"November 23, 1990, Sanand, Gujarat",33y 341d,,Right-hand Bat,Right-arm Medium,Bowler
Piyush Chawla,Piyush Pramod Chawla,"December 24, 1988, Aligarh, Uttar Pradesh",35y 310d,,Left-hand Bat,Legbreak,Bowling Allrounder
Amit Mishra,Amit Mishra,"November 24, 1982, Delhi",41y 340d,,Right-hand Bat,Legbreak,Bowler
Rashid Khan,Rashid Khan Arman,"September 20, 1998, Nangarhar",26y 39d,,Right-hand Bat,Legbreak Googly,Bowling Allrounder
Dwayne Bravo,Dwayne John Bravo,"October 07, 1983, Santa Cruz, Trinidad",41y 22d,Johnny,Right-hand Bat,Right-arm Medium,Allrounder
Yuzvendra Chahal,Yuzvendra Singh Chahal,"July 23, 1990, Jind, Haryana",34y 98d,,Right-hand Bat,Legbreak Googly,Bowler
Mohit Sharma,Mohit Mahipal Sharma,"September 18, 1988, Ballabhgarh, Haryana",36y 41d,,Right-hand Bat,Right-arm Medium,Bowler
Sunil Narine,Sunil Philip Narine,"May 26, 1988, Arima, Trinidad & Tobago",36y 156d,,Left-hand Bat,Right-arm Offbreak,Bowling Allrounder
