Player,Runs,HS,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date,total hundreds,total runs by 100s
BB McCullum,158,158,73,10,13,216.43,KKR,v RCB,Bengaluru,18-04-2008,2,258
MEK Hussey,116,116,54,8,9,214.81,CSK,v Kings XI,Mohali,19-04-2008,1,116
A Symonds,117,117,53,11,7,220.75,Chargers,v RR,Hyderabad,24-04-2008,1,117
AC Gilchrist,109,109,47,9,10,231.91,Chargers,v MI,DY Patil,27-04-2008,2,215
ST Jayasuriya,114,114,48,9,11,237.5,MI,v CSK,Wankhede,14-05-2008,1,114
SE Marsh,115,115,69,11,7,166.66,Kings XI,v RR,Mohali,28-05-2008,1,115
AB de Villiers,105,105,54,5,6,194.44,Daredevils,v CSK,Durban,23-04-2009,3,367
MK Pandey,114,114,73,10,4,156.16,RCB,v Chargers,Centurion,21-05-2009,1,114
YK Pathan,100,100,37,9,8,270.27,RR,v MI,Brabourne,13-03-2010,1,100
DA Warner,107,107,69,9,5,155.07,Daredevils,v KKR,Delhi,29-03-2010,4,442
M Vijay,127,127,56,8,11,226.78,CSK,v RR,Chennai,03-04-2010,2,240
DPMD Jayawardene,110,110,59,14,3,186.44,Kings XI,v KKR,Eden Gardens,04-04-2010,1,110
PC Valthaty,120,120,63,19,2,190.47,Kings XI,v CSK,Mohali,13-04-2011,1,120
SR Tendulkar,100,100,66,12,3,151.51,MI,v Kochi,Wankhede,15-04-2011,1,100
CH Gayle,102,102,55,10,7,185.45,RCB,v KKR,Eden Gardens,22-04-2011,6,733
V Sehwag,119,119,56,13,6,212.5,Daredevils,v Chargers,Hyderabad,05-05-2011,2,241
CH Gayle,107,107,49,10,9,218.36,RCB,v Kings XI,Bengaluru,06-05-2011,6,733
AC Gilchrist,106,106,55,8,9,192.72,Kings XI,v RCB,Dharamsala,17-05-2011,2,215
AM Rahane,103,103,60,12,5,171.66,RR,v RCB,Bengaluru,15-04-2012,2,208
KP Pietersen,103,103,64,6,9,160.93,Daredevils,v Chargers,Delhi,19-04-2012,1,103
DA Warner,109,109,54,10,7,201.85,Daredevils,v Chargers,Hyderabad,10-05-2012,4,442
RG Sharma,109,109,60,12,5,181.66,MI,v KKR,Eden Gardens,12-05-2012,2,214
CH Gayle,128,128,62,7,13,206.45,RCB,v Daredevils,Delhi,17-05-2012,6,733
M Vijay,113,113,58,15,4,194.82,CSK,v Daredevils,Chennai,25-05-2012,2,240
SR Watson,101,101,61,6,6,165.57,RR,v CSK,Chennai,22-04-2013,4,428
CH Gayle,175,175,66,13,17,265.15,RCB,v Warriors,Bengaluru,23-04-2013,6,733
SK Raina,100,100,53,7,6,188.67,CSK,v Kings XI,Chennai,02-05-2013,1,100
DA Miller,101,101,38,8,7,265.78,Kings XI,v RCB,Mohali,06-05-2013,1,101
LMP Simmons,100,100,61,14,2,163.93,MI,v Kings XI,Mohali,21-05-2014,1,100
V Sehwag,122,122,58,12,8,210.34,Kings XI,v CSK,Wankhede,30-05-2014,2,241
WP Saha,115,115,55,10,8,209.09,Kings XI,v KKR,Bengaluru,01-06-2014,1,115
BB McCullum,100,100,56,7,9,178.57,CSK,v SRH,Chennai,11-04-2015,2,258
CH Gayle,117,117,57,7,12,205.26,RCB,v Kings XI,Bengaluru,06-05-2015,6,733
AB de Villiers,133,133,59,19,4,225.42,RCB,v MI,Wankhede,10-05-2015,3,367
SR Watson,104,104,59,9,5,176.27,RR,v KKR,Brabourne,16-05-2015,4,428
Q de Kock,108,108,51,15,3,211.76,Daredevils,v RCB,Bengaluru,17-04-2016,2,248
V Kohli,100,100,63,11,1,158.73,RCB,v Guj Lions,Rajkot,24-04-2016,8,844
SPD Smith,101,101,54,8,5,187.03,Supergiants,v Guj Lions,Pune,29-04-2016,1,101
V Kohli,108,108,58,8,7,186.2,RCB,v Supergiants,Bengaluru,07-05-2016,8,844
V Kohli,109,109,55,5,8,198.18,RCB,v Guj Lions,Bengaluru,14-05-2016,8,844
AB de Villiers,129,129,52,10,12,248.07,RCB,v Guj Lions,Bengaluru,14-05-2016,3,367
V Kohli,113,113,50,12,8,226,RCB,v Kings XI,Bengaluru,18-05-2016,8,844
SV Samson,102,102,63,8,5,161.9,Daredevils,v Supergiant,Pune,11-04-2017,3,323
HM Amla,104,104,60,8,6,173.33,Kings XI,v MI,Indore,20-04-2017,2,208
DA Warner,126,126,59,10,8,213.55,SRH,v KKR,Hyderabad,30-04-2017,4,442
BA Stokes,103,103,63,7,6,163.49,Supergiant,v Guj Lions,Pune,01-05-2017,2,210
HM Amla,104,104,60,8,5,173.33,Kings XI,v Guj Lions,Mohali,07-05-2017,2,208
CH Gayle,104,104,63,1,11,165.07,Kings XI,v SRH,Mohali,19-04-2018,6,733
SR Watson,106,106,57,9,6,185.96,CSK,v RR,Pune,20-04-2018,4,428
RR Pant,128,128,63,15,7,203.17,Daredevils,v SRH,Delhi,10-05-2018,1,128
AT Rayudu,100,100,62,7,7,161.29,CSK,v SRH,Pune,13-05-2018,1,100
SR Watson,117,117,57,11,8,205.26,CSK,v SRH,Wankhede,27-05-2018,4,428
SV Samson,102,102,55,10,4,185.45,RR,v SRH,Hyderabad,29-03-2019,3,323
JM Bairstow,114,114,56,12,7,203.57,SRH,v RCB,Hyderabad,31-03-2019,2,222
DA Warner,100,100,55,5,5,181.81,SRH,v RCB,Hyderabad,31-03-2019,4,442
KL Rahul,100,100,64,6,6,156.25,Kings XI,v MI,Wankhede,10-04-2019,4,438
V Kohli,100,100,58,9,4,172.41,RCB,v KKR,Eden Gardens,19-04-2019,8,844
AM Rahane,105,105,63,11,3,166.66,RR,v DC,Jaipur,22-04-2019,2,208
KL Rahul,132,132,69,14,7,191.3,Kings XI,v RCB,Dubai (DICS),24-09-2020,4,438
MA Agarwal,106,106,50,10,7,212,Kings XI,v RR,Sharjah,27-09-2020,1,106
S Dhawan,101,101,58,14,1,174.13,DC,v CSK,Sharjah,17-10-2020,2,207
S Dhawan,106,106,61,12,3,173.77,DC,v Kings XI,Dubai (DICS),20-10-2020,2,207
BA Stokes,107,107,60,14,3,178.33,RR,v MI,Abu Dhabi,25-10-2020,2,210
SV Samson,119,119,63,12,7,188.88,RR,v Punjab Kings,Wankhede,12-04-2021,3,323
D Padikkal,101,101,52,11,6,194.23,RCB,v RR,Wankhede,22-04-2021,1,101
JC Buttler,124,124,64,11,8,193.75,RR,v SRH,Delhi,02-05-2021,7,756
RD Gaikwad,101,101,60,9,5,168.33,CSK,v RR,Abu Dhabi,02-10-2021,2,209
JC Buttler,100,100,68,11,5,147.05,RR,v MI,DY Patil,02-04-2022,7,756
KL Rahul,103,103,60,9,5,171.66,LSG,v MI,Brabourne,16-04-2022,4,438
JC Buttler,103,103,61,9,5,168.85,RR,v KKR,Brabourne,18-04-2022,7,756
JC Buttler,116,116,65,9,9,178.46,RR,v DC,Wankhede,22-04-2022,7,756
KL Rahul,103,103,62,12,4,166.12,LSG,v MI,Wankhede,24-04-2022,4,438
Q de Kock,140,140,70,10,10,200,LSG,v KKR,DY Patil,18-05-2022,2,248
RM Patidar,112,112,54,12,7,207.4,RCB,v LSG,Eden Gardens,25-05-2022,1,112
JC Buttler,106,106,60,10,6,176.66,RR,v RCB,Ahmedabad,27-05-2022,7,756
HC Brook,100,100,55,12,3,181.81,SRH,v KKR,Eden Gardens,14-04-2023,1,100
