Stadium,Number of Matches
Vidarbha Cricket Association Stadium,3
Green Park,4
Barsapara Cricket Stadium,4
Maharaja Yadavindra Singh International Stadium,5
Nehru Stadium,5
Shaheed Veer Narayan Singh International Stadium,6
JSCA International Stadium Complex,7
Holkar Cricket Stadium,9
Saurashtra Cricket Association Stadium,10
Himachal Pradesh Cricket Association Stadium,13
Barabati Stadium,13
BRSABV Ekana Cricket Stadium,14
Dr. YS Rajasekhara Reddy Cricket Stadium,15
Brabourne Stadium,26
Narendra Modi Stadium,35
Dr. DY Patil Sports Academy,37
Maharashtra Cricket Association Stadium,51
Sawai Mansingh Stadium,57
Punjab Cricket Association IS Bindra Stadium,60
Rajiv Gandhi International Stadium,77
MA Chidambaram Stadium,85
Arun Jaitley Stadium,89
Eden Gardens,93
M Chinnaswamy Stadium,95
Wankhede Stadium,116
