Stadium,City,Fours,Sixes,Wickets
Wankhede Stadium, Mumbai,3447,1608,1416
M.Chinnaswamy Stadium, Bengaluru,2567,1399,1098
Eden Gardens, Kolkata,2697,1182,1071
Arun Jaitley Stadium, Delhi,2554,1133,1059
MA Chidambaram Stadium," Chepauk, Chennai",2160,922,1019
Rajiv Gandhi International Stadium," Uppal, Hyderabad",2072,872,899
I.S. Bindra Punjab Cricket Association Stadium,,1839,602,689
Maharashtra Cricket Association Stadium, Pune,1237,602,616
Narendra Modi Stadium," Motera, Ahmedabad",950,505,423
Sawai Mansingh Stadium, Jaipur,1632,504,623
Dubai International Cricket Stadium, UAE,1182,494,537
Dr DY Patil Sports Academy, Navi Mumbai,911,458,469
Sharjah Cricket Stadium, UAE,593,394,321
Brabourne Stadium, Mumbai,874,333,330
Zayed Cricket Stadium," Abu Dhabi, UAE",1009,326,418
