Team,6s,Year
Sunrisers Hyderabad,178,2024
Royal Challengers Bangalore,165,2024
Kolkata Knight Riders,141,2024
Delhi Capitals,135,2024
Mumbai Indians,133,2024
Punjab Kings,120,2024
Rajasthan Royals,112,2024
Chennai Super Kings,107,2024
Lucknow Super Giants,102,2024
Gujarat Titans,67,2024
Mumbai Indians,140,2023
Chennai Super Kings,133,2023
Kolkata Knight Riders,125,2023
Gujarat Titans,124,2023
Punjab Kings,117,2023
Lucknow Super Giants,115,2023
Rajasthan Royals,112,2023
Royal Challengers Bangalore,107,2023
Sunrisers Hyderabad,84,2023
Delhi Capitals,67,2023
Rajasthan Royals,137,2022
Lucknow Super Giants,115,2022
Kolkata Knight Riders,113,2022
Punjab Kings,110,2022
Delhi Capitals,106,2022
Chennai Super Kings,103,2022
Royal Challengers Bangalore,102,2022
Mumbai Indians,100,2022
Sunrisers Hyderabad,97,2022
Gujarat Titans,79,2022
Chennai Super Kings,115,2021
Kolkata Knight Riders,98,2021
Punjab Kings,93,2021
Rajasthan Royals,90,2021
Royal Challengers Bangalore,79,2021
Mumbai Indians,76,2021
Sunrisers Hyderabad,70,2021
Delhi Capitals,66,2021
Mumbai Indians,137,2020
Rajasthan Royals,105,2020
Punjab Kings,98,2020
Delhi Capitals,88,2020
Kolkata Knight Riders,86,2020
Sunrisers Hyderabad,79,2020
Chennai Super Kings,75,2020
Royal Challengers Bangalore,66,2020
Kolkata Knight Riders,143,2019
Mumbai Indians,115,2019
Punjab Kings,110,2019
Royal Challengers Bangalore,93,2019
Chennai Super Kings,89,2019
Delhi Capitals,87,2019
Sunrisers Hyderabad,81,2019
Rajasthan Royals,66,2019
Chennai Super Kings,145,2018
Kolkata Knight Riders,130,2018
Delhi Capitals,115,2018
Mumbai Indians,107,2018
Royal Challengers Bangalore,106,2018
Punjab Kings,104,2018
Sunrisers Hyderabad,88,2018
Rajasthan Royals,77,2018
