Team,6s,4s,50s,100s,Inns,Year
Punjab Kings,95,231,14,1,107,2008
Chennai Super Kings,86,244,13,1,107,2008
Rajasthan Royals,85,258,15,0,118,2008
Mumbai Indians,76,197,4,1,104,2008
Kolkata Knight Riders,75,162,7,1,112,2008
Royal Challengers Bangalore,59,187,7,0,129,2008
Delhi Capitals,54,218,13,0,10,2008
Chennai Super Kings,73,192,10,0,106,2009
Royal Challengers Bangalore,67,192,7,1,136,2009
Punjab Kings,61,139,7,0,113,2009
Kolkata Knight Riders,56,140,6,0,94,2009
Mumbai Indians,54,145,13,0,105,2009
Delhi Capitals,51,188,11,1,104,2009
Rajasthan Royals,45,147,5,0,115,2009
Chennai Super Kings,97,212,13,1,117,2010
Royal Challengers Bangalore,77,214,13,0,117,2010
Mumbai Indians,75,261,12,0,129,2010
Rajasthan Royals,74,202,7,1,118,2010
Kolkata Knight Riders,63,199,12,0,96,2010
Delhi Capitals,58,190,11,1,113,2010
Punjab Kings,57,233,9,1,106,2010
Royal Challengers Bangalore,94,224,11,2,110,2011
Chennai Super Kings,91,204,19,0,102,2011
Delhi Capitals,75,185,8,1,120,2011
Punjab Kings,74,218,10,2,114,2011
Mumbai Indians,57,221,10,1,112,2011
Kolkata Knight Riders,45,191,9,0,97,2011
Rajasthan Royals,42,152,4,0,91,2011
Royal Challengers Bangalore,117,186,16,1,110,2012
Chennai Super Kings,102,223,8,1,132,2012
Delhi Capitals,97,232,12,2,127,2012
Mumbai Indians,79,219,13,1,137,2012
Kolkata Knight Riders,69,210,11,0,125,2012
Rajasthan Royals,69,246,10,1,110,2012
Punjab Kings,61,226,8,0,133,2012
Mumbai Indians,117,252,15,0,148,2013
Royal Challengers Bangalore,103,229,14,1,106,2013
Chennai Super Kings,84,241,16,1,123,2013
Rajasthan Royals,70,267,12,1,129,2013
Punjab Kings,65,244,10,1,132,2013
Kolkata Knight Riders,56,222,8,0,130,2013
Sunrisers Hyderabad,51,197,7,0,140,2013
Delhi Capitals,50,210,8,0,138,2013
Punjab Kings,127,262,11,2,126,2014
Chennai Super Kings,112,205,17,0,101,2014
Royal Challengers Bangalore,92,165,9,0,108,2014
Mumbai Indians,86,197,12,1,116,2014
Rajasthan Royals,86,166,10,0,113,2014
Kolkata Knight Riders,76,223,13,0,117,2014
Sunrisers Hyderabad,72,167,11,0,100,2014
Delhi Capitals,63,177,8,0,111,2014
Mumbai Indians,120,242,19,0,118,2015
Royal Challengers Bangalore,105,206,8,2,107,2015
Chennai Super Kings,96,249,10,1,135,2015
Delhi Capitals,84,188,16,0,102,2015
Punjab Kings,79,144,5,0,127,2015
