Team,oppisition,M,W,L,Tie-W,Tie-L,NR
Chennai Super Kings,Deccan Chargers,10,6,4,0,0,0
Chennai Super Kings,Delhi Capitals,30,19,11,0,0,0
Chennai Super Kings,Gujarat Titans,7,3,4,0,0,0
Chennai Super Kings,Kochi Tuskers Kerala,2,1,1,0,0,0
Chennai Super Kings,Kolkata Knight Riders,29,19,10,0,0,1
Chennai Super Kings,Lucknow Super Giants,4,1,3,0,0,0
Chennai Super Kings,Mumbai Indians,37,17,20,0,0,0
Chennai Super Kings,Pune Warriors,6,4,2,0,0,0
Chennai Super Kings,Punjab Kings,30,16,14,0,1,0
Chennai Super Kings,Rajasthan Royals,29,16,13,0,0,0
Chennai Super Kings,Royal Challengers Bangalore,32,21,11,0,0,1
Chennai Super Kings,Sunrisers Hyderabad,21,15,6,0,0,0
Mumbai Indians,Chennai Super Kings,37,20,17,0,0,0
Mumbai Indians,Deccan Chargers,10,6,4,0,0,0
Mumbai Indians,Delhi Capitals,35,19,16,0,0,0
Mumbai Indians,Gujarat Lions,4,2,2,1,0,0
Mumbai Indians,Gujarat Titans,5,2,3,0,0,0
Mumbai Indians,Kochi Tuskers Kerala,1,0,1,0,0,0
Mumbai Indians,Kolkata Knight Riders,34,24,10,0,0,0
Mumbai Indians,Lucknow Super Giants,6,1,5,0,0,0
Mumbai Indians,Pune Warriors,6,5,1,0,0,0
Mumbai Indians,Punjab Kings,32,17,15,0,0,0
Mumbai Indians,Rajasthan Royals,29,15,14,0,0,1
Mumbai Indians,Rising Pune Supergiants,6,2,4,0,0,0
Mumbai Indians,Royal Challengers Bangalore,33,19,14,0,1,0
Mumbai Indians,Sunrisers Hyderabad,23,13,10,1,0,0
Royal Challengers Bangalore,Chennai Super Kings,32,11,21,0,0,1
Royal Challengers Bangalore,Deccan Chargers,11,5,6,0,0,0
Royal Challengers Bangalore,Delhi Capitals,30,19,11,1,0,0
Royal Challengers Bangalore,Gujarat Lions,5,3,2,0,0,0
Royal Challengers Bangalore,Gujarat Titans,5,3,2,0,0,0
Royal Challengers Bangalore,Kochi Tuskers Kerala,2,2,0,0,0,0
