Year,Winner,Totals winers,Won By,Runner Up,total runners,Venue
2024,Kolkata Knight Riders,3,8 wickets,Sunrisers Hyderabad,2,Chennai
2023,Chennai Super Kings,5,5 wickets,Gujarat Titans,1,Ahmedabad
2022,Gujarat Titans,1,7 wickets,Rajasthan Royals,1,Ahmedabad
2021,Chennai Super Kings,5,27 runs,Kolkata Knight Riders,1,Dubai
2020,Mumbai Indians,5,5 wickets,Delhi Capitals,1,Dubai
2019,Mumbai Indians,5,1 run,Chennai Super Kings,5,Hyderabad
2018,Chennai Super Kings,5,8 wickets,Sunrisers Hyderabad,2,Mumbai
2017,Mumbai Indians,5,1 run,Rising Pune Supergiants,1,Hyderabad
2016,Sunrisers Hyderabad,1,8 runs,Royal Challengers Bengaluru,3,Bangalore
2015,Mumbai Indians,5,41 runs,Chennai Super Kings,5,Kolkata
2014,Kolkata Knight Riders,3,3 wickets,Punjab Kings,1,Bangalore
2013,Mumbai Indians,5,23 runs,Chennai Super Kings,5,Kolkata
2012,Kolkata Knight Riders,3,5 wickets,Chennai Super Kings,5,Chennai
2011,Chennai Super Kings,5,58 runs,Royal Challengers Bengaluru,3,Chennai
2010,Chennai Super Kings,5,22 runs,Mumbai Indians,1,Mumbai
2009,Deccan Chargers,1,6 runs,Royal Challengers Bengaluru,3,Johannesburg
2008,Rajasthan Royals,1,3 wickets,Chennai Super Kings,5,Mumbai
,Delhi Capitals,0,,Lucknow Super Giants,0,
,Royal Challengers Bengaluru,0,,,,
,Punjab Kings,0,,,,
,Lucknow Super Giants,0,,,,
