Pos,Name,matches,Wickets,Team
1,Dwayne Bravo,115,140,Chennai Super Kings
2,Ravindra Jadeja,171,133,Chennai Super Kings
3,Ravichandran Ashwin,96,90,Chennai Super Kings
4,Deepak Chahar,76,77,Chennai Super Kings
5,Albie Morkel,77,76,Chennai Super Kings
1,Lasith Malinga,122,170,Mumbai Indians
2,Jasprit Bumrah,133,165,Mumbai Indians
3,Harbhajan Singh,136,127,Mumbai Indians
4,Mitchell McClenaghan,56,71,Mumbai Indians
5,Kieron Pollard,189,69,Mumbai Indians
1,Yuzvendra Chahal,112,139,Royal Challengers Bangalore
2,Harshal Patel,78,99,Royal Challengers Bangalore
3,Mohammed Siraj,87,83,Royal Challengers Bangalore
4,Vinay Kumar,63,72,Royal Challengers Bangalore
5,Zaheer Khan,43,49,Royal Challengers Bangalore
1,Amit Mishra,99,106,Delhi Capitals
2,Kagiso Rabada,50,76,Delhi Capitals
3,Axar Patel,82,62,Delhi Capitals
4,Anrich Nortje,46,60,Delhi Capitals
5,Kuldeep Yadav,39,47,Delhi Capitals
1,Sunil Narine,176,180,Kolkata Knight Riders
2,Andre Russell,119,114,Kolkata Knight Riders
3,Varun Chakravarthy,69,82,Kolkata Knight Riders
4,Piyush Chawla,70,66,Kolkata Knight Riders
5,Umesh Yadav,67,65,Kolkata Knight Riders
1,Piyush Chawla,87,84,Punjab Kings
2,Arshdeep Singh,65,75,Punjab Kings
3,Sandeep Sharma,61,73,Punjab Kings
4,Axar Patel,68,61,Punjab Kings
5,Mohammed Shami,42,58,Punjab Kings
1,Yuzvendra Chahal,46,66,Rajasthan Royals
2,Siddharth Trivedi,76,65,Rajasthan Royals
3,Shane Watson,78,61,Rajasthan Royals
4,Shane Warne,55,57,Rajasthan Royals
5,James Faulkner,42,47,Rajasthan Royals
1,Bhuvneshwar Kumar Singh,145,156,Sunrisers Hyderabad
2,Rashid Khan,76,93,Sunrisers Hyderabad
3,T Natarajan,55,64,Sunrisers Hyderabad
4,Siddarth Kaul,43,52,Sunrisers Hyderabad
5,Sandeep Sharma,43,41,Sunrisers Hyderabad
1,Ravi Bishnoi,43,39,Lucknow Super Giants
2,Mohsin Khan,23,27,Lucknow Super Giants
3,Avesh Khan,22,26,Lucknow Super Giants
4,Naveen-ul-Haq,17,25,Lucknow Super Giants
5,Krunal Pandya,42,25,Lucknow Super Giants
1,Rashid Khan,45,56,Gujarat Titans
2,Mohammed Shami,33,48,Gujarat Titans
3,Mohit Sharma,26,40,Gujarat Titans
4,Noor Ahmad,23,24,Gujarat Titans
5,Alzarri Joseph,16,14,Gujarat Titans
