,Pos,Name,matches,Runs,Team
0,1,Suresh Raina,175,4687,Chennai Super Kings
1,2,Mahendra Singh Dhoni,232,4668,Chennai Super Kings
2,3,Faf du Plessis,91,2718,Chennai Super Kings
3,4,Ruturaj Gaikwad,65,2380,Chennai Super Kings
4,5,Ambati Rayudu,88,1927,Chennai Super Kings
0,1,Rohit Sharma,212,5458,Mumbai Indians
1,2,Kieron Pollard,189,3413,Mumbai Indians
2,3,Suryakumar Yadav,96,2986,Mumbai Indians
3,4,Ambati Rayudu,114,2416,Mumbai Indians
4,5,Sachin Tendulkar,78,2334,Mumbai Indians
0,1,Virat Kohli,251,8004,Royal Challengers Bangalore
1,2,AB de Villiers,155,4491,Royal Challengers Bangalore
2,3,Chris Gayle,84,3163,Royal Challengers Bangalore
3,4,Faf du Plessis,45,1636,Royal Challengers Bangalore
4,5,Glenn Maxwell,52,1266,Royal Challengers Bangalore
0,1,Rishabh Pant,111,3284,Delhi Capitals
1,2,David Warner,89,2551,Delhi Capitals
2,3,Shreyas Iyer,87,2375,Delhi Capitals
3,4,Virender Sehwag,79,2174,Delhi Capitals
4,5,Shikhar Dhawan,63,2066,Delhi Capitals
0,1,Gautam Gambhir,108,3035,Kolkata Knight Riders
1,2,Robin Uthappa,86,2439,Kolkata Knight Riders
2,3,Andre Russell,119,2426,Kolkata Knight Riders
3,4,Nitish Rana,90,2199,Kolkata Knight Riders
4,5,Yusuf Pathan,106,1893,Kolkata Knight Riders
0,1,KL Rahul,55,2548,Punjab Kings
1,2,Shaun Marsh,72,2477,Punjab Kings
2,3,David Miller,79,1850,Punjab Kings
3,4,Mayank Agarwal,60,1514,Punjab Kings
4,5,Chris Gayle,41,1339,Punjab Kings
0,1,Sanju Samson,138,3742,Rajasthan Royals
1,2,Jos Buttler,83,3055,Rajasthan Royals
2,3,Ajinkya Rahane,99,2810,Rajasthan Royals
3,4,Shane Watson,77,2372,Rajasthan Royals
4,5,Yashasvi Jaiswal,52,1607,Rajasthan Royals
0,1,David Warner,95,4014,Sunrisers Hyderabad
1,2,Shikhar Dhawan,85,2517,Sunrisers Hyderabad
2,3,Kane Williamson,76,2101,Sunrisers Hyderabad
3,4,Manish Pandey,51,1345,Sunrisers Hyderabad
4,5,Abhishek Sharma,60,1314,Sunrisers Hyderabad
0,1,KL Rahul,38,1410,Lucknow Super Giants
1,2,Marcus Stoinis,40,952,Lucknow Super Giants
2,3,Quinton de Kock,30,901,Lucknow Super Giants
3,4,Nicholas Pooran,29,857,Lucknow Super Giants
4,5,Deepak Hooda,38,680,Lucknow Super Giants
0,1,Shubman Gill,45,1799,Gujarat Titans
1,2,Sai Sudharsan,25,1034,Gujarat Titans
2,3,David Miller,41,950,Gujarat Titans
3,4,Hardik Pandya,31,833,Gujarat Titans
4,5,Wriddhiman Saha,37,824,Gujarat Titans
